Geneid,<2C (LG1),G1,S,G2M,>4C (GG2M),desc,class,selected
Tb927.11.17790,228.34984920292976,470.0560103403705,293.40801378716066,309.34941835415765,137.44075829383885,variant surface glycoprotein (VSG)  degenerate and frameshifted,G1,0
Tb927.11.17600,862.1659634317862,646.2728551336147,367.79184247538683,432.4894514767932,323.4880450070324,variant surface glycoprotein (VSG)  frameshifted,<2C (LG1),0
Tb927.11.17610,2993.2533733133428,1727.8860569715139,1193.4032983508243,992.503748125937,955.7721139430284,variant surface glycoprotein (VSG)  frameshifted and point mutation,<2C (LG1),0
Tb927.11.17620,30.8641975308642,283.95061728395063,102.880658436214,123.4567901234568,10.2880658436214,variant surface glycoprotein (VSG)  fragment,G1,0
Tb927.11.17630,1.5117157974300832,639.4557823129253,601.6628873771732,442.9327286470144,592.5925925925926,variant surface glycoprotein (VSG)  frameshifted and degenerate,G1,0
Tb927.11.17640,0.0,4338.235294117648,3799.0196078431372,3254.901960784314,2196.078431372549,expression site-associated gene 3 (ESAG3)  frameshifted and degenerate,G1,0
Tb927.11.17650,178.3010933557611,213.62489486963835,176.619007569386,218.67115222876362,113.5407905803196,variant surface glycoprotein (VSG)  frameshifted  interrupted and point mutation,G2M,0
Tb927.11.17660,37.96296296296296,137.03703703703704,124.07407407407406,94.44444444444444,30.555555555555554,variant surface glycoprotein (VSG)  frameshifted and degenerate fragment interrupted,G1,0
Tb927.11.17670,1810.9339407744878,270.31131359149583,252.08807896735004,255.12528473804105,65.29992406985573,variant surface glycoprotein (VSG)  degenerate,<2C (LG1),0
Tb927.11.17680,691.8604651162791,568.7103594080337,357.82241014799155,475.6871035940803,312.89640591966173,variant surface glycoprotein (VSG)  point mutation,<2C (LG1),0
Tb927.11.17690,2.1715526601520088,143.32247557003257,327.9044516829533,183.49619978284468,99.8914223669924,expression site-associated gene 3 (ESAG3)  degenerate and frameshifted fragment,S,0
Tb927.11.17700,12.574454003970883,124.42091330244871,56.25413633355394,95.96293845135672,37.72336201191264,variant surface glycoprotein (VSG)  degenerate,G1,0
Tb927.11.17710,973.121563836286,263.28649969456325,163.10323762981062,185.09468540012216,124.0073304825901,expression site-associated gene 3 (ESAG3)  degenerate,<2C (LG1),0
Tb927.11.17720,54.310930074677536,94.36524100475219,87.57637474541752,141.887304820095,92.32858112695179,variant surface glycoprotein (VSG  atypical)  putative,G2M,0
Tb927.11.17730,2172.804532577904,830.9726156751652,913.1255901794146,636.4494806421153,620.3966005665723,variant surface glycoprotein (VSG)  frameshifted and degenerate,<2C (LG1),0
Tb927.11.17740,0.0,490.40511727078894,375.266524520256,234.54157782515992,317.69722814498937,variant surface glycoprotein (VSG)  degenerate fragment,G1,0
Tb927.11.17750,0.0,0.0,17.921146953405014,7.1684587813620055,0.0,variant surface glycoprotein (VSG)  fragment interrupted,S,0
Tb927.11.17760,463.57615894039736,451.0669610007358,429.7277409860191,345.84253127299485,214.8638704930096,variant surface glycoprotein (VSG  atypical)  putative,<2C (LG1),0
Tb927.11.17770,12.345679012345679,150.20576131687244,34.293552812071326,75.44581618655694,0.6858710562414266,variant surface glycoprotein (VSG  atypical)  putative,G1,0
Tb927.11.17780,45.563549160671464,110.3117505995204,196.64268585131896,266.18705035971226,146.28297362110308,variant surface glycoprotein (VSG)  degenerate,G2M,0
Tb927.11.17580,0.0,88.1477069684336,95.2948183442525,83.38296605122095,1.7867778439547348,variant surface glycoprotein (VSG  atypical)  putative,S,0
Tb927.11.17130,0.7235890014471781,569.4645441389291,430.5354558610709,319.82633863965265,531.1143270622287,variant surface glycoprotein (VSG) degenerate and franmeshifted,G1,0
Tb927.11.17120,890.9921671018277,271.5404699738903,173.62924281984334,101.17493472584856,38.511749347258494,variant surface glycoprotein (VSG)  putative,<2C (LG1),0
Tb927.11.17110,12.031139419674453,146.49681528662418,112.52653927813164,53.7862703467799,41.755130927105455,variant surface glycoprotein (VSG)  putative,G1,0
Tb927.11.16500,1227.0714737507906,1108.159392789374,1089.8165717900065,723.5926628716002,914.6110056925996,hypothetical protein  conserved,<2C (LG1),0
Tb11.NT.210,0.0,459.2391304347826,255.43478260869568,154.8913043478261,32.608695652173914,Noncoding RNA  putative,G1,0
Tb927.11.16510,0.0,57.66710353866317,23.591087811271297,41.939711664482296,15.727391874180865,hypothetical protein  conserved,G1,0
Tb927.11.16520,0.0,329.61460446247463,239.3509127789047,189.6551724137931,31.44016227180527,hypothetical protein  conserved,G1,0
Tb927.11.16530,685.2106857614982,699.2564031947122,565.9597906912696,491.87551638667037,371.79840264389975,hypothetical protein  conserved,G1,0
Tb927.11.16540,0.0,48.1651376146789,11.46788990825688,26.376146788990827,6.8807339449541285,Roadblock/LC7 domain containing protein  putative,G1,0
Tb927.11.16550,153.5760628959621,249.14128692466218,150.06488054346997,137.2414319517594,120.75414090527441,Zinc finger protein  C3H1 type-like,G1,0
Tb927.11.16560,370.54472091459314,602.5554808338937,575.3194351042367,354.0685944855413,408.54068594485534,Nucleotide sugar transporter 2,G1,0
Tb927.11.16490,983.9506172839507,880.8641975308641,643.2098765432098,575.3086419753088,603.7037037037038,Methyltransferase-associated protein,<2C (LG1),0
Tb927.11.16570,50.0,497.1264367816092,371.8390804597701,295.4022988505747,256.8965517241379,ATP-dependent DEAD/H RNA helicase  putative,G1,0
Tb927.11.16580,446.9914040114613,773.6389684813754,514.3266475644699,374.8806112702961,420.2483285577842,hypothetical protein  conserved,G1,0
Tb927.11.16590,96.73659673659674,412.004662004662,252.91375291375286,282.05128205128204,258.7412587412587,RNA-binding protein  putative,G1,0
Tb927.11.16600,652.3468575974542,241.84566428003185,218.77486077963403,124.10501193317423,155.1312649164678,exosome-associated protein 2,<2C (LG1),0
Tb927.11.16610,1139.212175470009,1227.3948075201433,1014.7717099373323,839.3017009847807,837.958818263205,zinc-finger of a C2HC-type  putative,G1,0
Tb927.11.16615,0.0,44.64285714285714,8.928571428571429,15.625,7.8125,Protein of unknown function (DUF2638)  putative,G1,0
Tb927.11.16620,738.2769901853871,711.5594329334787,639.5856052344602,516.9029443838604,398.0370774263904,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.16630,605.119597146454,1028.955098615191,866.9744020142678,721.3596307175827,888.3759966428871,major facilitator superfamily  putative,G1,0
Tb927.11.16640,147.82244556113903,235.7621440536014,132.32830820770522,165.82914572864325,74.12060301507537,Uncharacterised protein family UPF0564  putative,G1,0
Tb927.11.16575,250.4970178926441,419.48310139165017,208.7475149105368,296.22266401590457,252.48508946322067,hypothetical protein,G1,0
Tb927.11.16480,56.05381165919282,476.45739910313904,396.4872944693572,351.64424514200294,274.66367713004485,enoyl-CoA hydratase/isomerase family protein  putative,G1,0
Tb927.11.16470,143.270944741533,442.95900178253123,363.41354723707667,371.43493761140815,783.1996434937612,SUMO-interacting motif-containing protein,>4C (GG2M),0
Tb927.11.16450,3.8216560509554136,239.49044585987258,150.31847133757958,197.452229299363,67.51592356687898,hypothetical protein  conserved,G1,0
Tb927.11.16260,1064.8245746122573,771.0435175425388,560.7589218491191,490.0617376901069,474.55202529739495,SPRY domain/HECT-domain (ubiquitin-transferase)  putative,<2C (LG1),0
Tb927.11.16280,0.0,94.13067552602436,80.84163898117386,47.61904761904761,36.54485049833887,60S ribosomal protein L8  putative,G1,0
Tb927.11.16290,502.1987686895338,639.4019349164467,654.353562005277,367.6341248900616,255.05716798592792,AUT2/APG4/ATG4 cysteine peptidase  putative,S,0
Tb927.11.16300,1344.2001516300231,366.18650492797576,268.3851402577711,223.65428354814256,82.63836239575436,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.16310,101.46273508242395,504.2953331785465,387.27652658462966,345.01973531460413,292.54701648479215,Unconventional myosin,G1,0
Tb927.11.16320,108.18438381937912,399.8118532455316,322.6716839134525,248.3537158984008,263.4054562558796,hypothetical protein  conserved,G1,0
Tb927.11.16330,491.5966386554622,747.1988795518207,586.8347338935573,527.3109243697478,494.0476190476191,hypothetical protein  conserved,G1,0
Tb927.11.16340,205.2586938083121,435.9626802374894,439.6381113938366,329.0924512298558,262.93469041560644,Importin-beta N-terminal domain/HEAT-like repeat  putative,S,0
Tb927.11.16350,1829.787234042553,2030.1418439716315,1255.3191489361702,1039.0070921985816,294.3262411347518,hypothetical protein  conserved,G1,0
Tb927.11.16360,337.0641411967284,296.16874730951355,223.4179939733104,211.79509255273356,163.58157554885926,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.16370,0.4440497335701599,835.7015985790408,428.0639431616341,501.7761989342808,291.2966252220249,SHQ1 protein  putative,G1,0
Tb927.11.16380,986.863711001642,436.7816091954023,279.9671592775041,288.9983579638752,116.58456486042694,TPR repeat  putative,<2C (LG1),0
Tb927.11.16390,433.48741653826403,260.914227015922,184.89984591679507,135.59322033898306,200.82177709296352,cyclin dependent kinases regulatory subunit  putative,<2C (LG1),0
Tb927.11.16400,0.6101281269066504,543.6241610738256,487.4923733984137,311.1653447223917,314.21598535692493,kinetoplast-associated protein 3  putative,G1,0
Tb11.NT.208,0.0,547.8260869565216,447.8260869565217,517.391304347826,582.6086956521739,Noncoding RNA  putative,>4C (GG2M),0
Tb927.11.16410,0.0,430.2469135802469,250.0,241.97530864197532,395.0617283950617,enolase  putative,G1,0
Tb927.11.16420,773.5124760076775,384.8368522072937,267.7543186180422,283.10940499040305,166.98656429942415,Methyltransferase TYW3  putative,<2C (LG1),0
Tb927.11.16430,715.1639344262295,1034.8360655737706,774.5901639344263,436.4754098360656,424.1803278688525,18 kDa ER-associated protein,G1,0
Tb927.11.16440,285.9135285913529,663.8772663877266,569.0376569037658,362.62203626220366,72.52440725244072,Transmembrane protein 18  putative,G1,0
Tb927.11.16650,1712.3022279625445,537.6170487568613,476.26735550532766,411.3658379076526,338.71488537294164,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.16660,576.862507571169,688.6735311932161,493.6402180496668,401.0902483343428,446.88067837674123,Dopey  N-terminal  putative,G1,0
Tb927.11.16670,1381.0160427807486,562.8342245989304,516.934046345811,361.4081996434937,170.23172905525846,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.16680,38.15728245695672,459.74872033503954,250.814332247557,210.79571893904145,294.5556072591903,tRNA pseudouridine synthase D (TruD)  putative,G1,0
Tb927.11.16930,478.0244676030811,734.4811961939283,631.1735387403717,516.0851835070232,355.68645219755325,ABC transporter of the mitochondrion  putative,G1,0
Tb927.11.16940,628.2051282051283,457.2649572649573,275.21367521367523,226.4957264957265,219.6581196581197,MIZ/SP-RING zinc finger  putative,<2C (LG1),0
Tb927.11.16950,0.0,43.84133611691024,10.4384133611691,29.227557411273487,27.139874739039666,hypothetical protein  conserved,G1,0
Tb927.11.16960,40.22988505747128,417.8981937602628,335.2490421455939,254.51559934318558,244.93705528188286,SUMO-interacting motif-containing protein,G1,0
Tb927.11.16970,1041.1788453774727,948.3245861929753,630.6015341138474,628.9866774323779,524.4247073072265,protein phosphatase 4  putative,<2C (LG1),0
Tb927.11.16980,8.598452278589853,315.5631986242476,271.71109200343943,231.29836629406705,442.82029234737746,chaperone protein DnaJ  putative,>4C (GG2M),0
Tb927.11.16990,935.5877616747183,400.96618357487915,382.8502415458937,287.84219001610313,285.82930756843797,50S ribosome-binding GTPase  putative,<2C (LG1),0
Tb927.11.17010,447.8764478764479,532.8185328185328,393.8223938223938,202.70270270270268,505.79150579150576,Rab5-interacting protein (Rab5ip)  putative,G1,0
Tb927.11.17015,0.0,9.09090909090909,21.21212121212121,15.15151515151515,0.0,Cytochrome c oxidase assembly factor 6 homolog  putative,S,0
Tb927.11.17020,15.343306482546987,274.6451860375911,263.1377061756808,138.0897583429229,169.54353663214422,hypothetical protein  conserved,G1,0
Tb927.11.17040,428.16500711237563,761.9132290184923,532.3613086770981,481.50782361308677,381.93456614509245,procyclic-enriched flagellar receptor adenylate cyclase 1,G1,0
Tb927.11.rRNA_1,63.95348837209303,2255.8139534883717,1197.6744186046512,1523.2558139534885,1290.6976744186047,5.8S ribosomal RNA,G1,0
Tb927.11.rRNA_2,741.207697412077,919.7080291970804,719.3098871930989,587.2594558725946,379.5620437956205,28S alpha ribosomal RNA (fragment),G1,0
Tb927.11.17050,503.75939849624064,853.3834586466165,466.1654135338345,446.11528822055135,390.9774436090226,variant surface glycoprotein (VSG)  pseudogene,G1,0
Tb927.11.17060,496.4285714285714,403.5714285714286,313.09523809523813,300.0,130.95238095238096,variant surface glycoprotein (VSG)  putative (pseudogene),<2C (LG1),0
Tb927.11.17070,360.30204962243795,146.70981661272918,156.41855447680692,77.66990291262134,46.38619201725998,variant surface glycoprotein (VSG)  putative (pseudogene),<2C (LG1),0
Tb927.11.17080,495.2380952380952,539.1941391941392,355.31135531135527,286.44688644688637,197.06959706959708,variant surface glycoprotein (VSG)  putative (pseudogene),G1,0
Tb927.11.17090,1.0416666666666667,60.41666666666667,43.75,29.16666666666667,59.375,variant surface glycoprotein (VSG)  putative (pseudogene),G1,0
Tb927.11.17100,394.05204460966536,425.0309789343247,389.09541511772005,337.05080545229237,159.85130111524163,variant surface glycoprotein (VSG  pseudogene)  fragment,G1,0
Tb927.11.16920,234.785740007202,409.4346416996759,387.1083903492978,304.2851998559597,216.4205977673749,VSG exclusion protein 1,G1,0
Tb927.11.18010,11.441647597254008,82.37986270022883,100.68649885583523,109.83981693363845,173.91304347826087,expression site-associated gene 3 (ESAG3)  degenerate,>4C (GG2M),0
Tb927.11.16915,0.0,835.4430379746835,677.2151898734178,563.2911392405064,259.493670886076,hypothetical protein,G1,0
Tb927.11.16900,1489.6650035637915,730.5773342836778,782.6086956521739,616.5359942979329,1740.5559515324305,hypothetical protein,>4C (GG2M),0
Tb927.11.16690,1438.4384384384384,610.2769436102768,493.1598264931599,339.673006339673,370.0367033700367,Voltage-gated Chloride channel Like 3,<2C (LG1),0
Tb927.11.16700,398.84589273591314,932.4507807196196,754.9219280380178,703.326544467074,435.50577053632037,hypothetical protein  conserved,G1,0
Tb927.11.16710,549.9383477188655,505.54870530209615,330.4562268803945,214.5499383477189,186.18988902589396,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.16730,1133.7837837837835,983.7837837837835,810.8108108108107,576.5765765765765,478.3783783783783,dihydrolipoyl dehydrogenase,<2C (LG1),0
Tb927.11.16740,1263.5494155154092,641.3390010626993,591.9234856535601,510.62699256110517,565.8873538788522,chaperone protein DnaJ  putative,<2C (LG1),0
Tb927.11.16750,413.72549019607834,766.6666666666665,646.0784313725492,425.4901960784314,481.3725490196079,hypothetical protein  conserved,G1,0
Tb927.11.16760,96.56398104265404,79.97630331753554,145.73459715639808,91.23222748815166,309.24170616113753,T-complex protein 1  alpha subunit  putative,>4C (GG2M),0
Tb927.11.16770,1091.6955017301038,596.885813148789,587.3702422145328,442.90657439446363,399.65397923875435,glucosamine-6-phosphate isomerase  putative,<2C (LG1),0
Tb927.11.16780,562.1478289691746,362.9433211799801,262.51242956579387,256.2147828969175,319.52270467351667,hypothetical protein,<2C (LG1),0
Tb927.11.16790,13.103227868328538,328.21987855544904,277.40492170022367,186.96069031639504,198.1463726430169,mitogen-activated protein kinase,G1,0
Tb927.11.16800,1607.7287641268686,1179.730222384251,928.5453882610283,707.2548304775792,743.3467006926722,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.16810,0.0,183.9937230286387,91.01608473911337,187.13220870929774,413.1031777167517,dynein light intermediate chain D1bLIC  putative,>4C (GG2M),0
Tb927.11.16820,158.42293906810036,284.15770609319003,165.1612903225806,200.28673835125446,171.0394265232975,hypothetical protein  conserved,G1,0
Tb927.11.16840,708.2359813084113,460.28037383177565,302.27803738317755,304.0303738317757,312.2079439252337,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.16850,388.6594066841908,821.2542245587683,579.0461885092003,493.80398047315066,542.9966203529854,Golgi transport complex subunit 5  putative,G1,0
Tb927.11.16860,1347.5750577367205,747.6905311778291,577.3672055427252,450.9237875288684,359.12240184757513,Guide RNA binding complex protein 3,<2C (LG1),0
Tb927.11.16870,969.3593314763233,618.3844011142062,405.2924791086351,447.07520891364896,604.4568245125347,NADH-ubiquinone oxidoreductase B8 subunit,<2C (LG1),0
Tb927.11.16880,1277.2915707047446,502.994011976048,474.8963611239061,491.47858129894064,681.7134960847536,leucine-rich repeat protein (LRRP)  putative,<2C (LG1),0
Tb927.11.16890,312.59600614439324,273.73271889400917,208.44854070660526,193.70199692780338,661.5975422427035,Tetratricopeptide-like helical domain containing protein,>4C (GG2M),0
Tb927.11.16910,716.3198247535597,991.237677984666,744.0671778021176,614.8229280759401,772.5447243519533,Serine hydrolase (FSH1)/RWD domain/50S ribosome-binding GTPase/GTPase of unknown function C-terminal  putative,G1,0
Tb927.11.16250,256.078634247284,923.4350750129332,596.4821520951888,563.3729953440247,638.9032591826177,PIN domain containing protein  putative,G1,0
Tb927.11.18020,9.689922480620154,381.7829457364341,269.37984496124034,135.65891472868216,465.11627906976736,variant surface glycoprotein (VSG)  fragment,>4C (GG2M),0
Tb927.11.18040,378.8990825688072,424.77064220183485,453.2110091743119,249.5412844036697,238.53211009174308,expression site-associated gene 3 (ESAG3)  frameshifted and degenerate,S,0
